"Código Pagamento";"Código Lista";"Data Emissão";"Código Favorecido";"Favorecido";"Valor do Pagamento em R$"
"120071000012018OB800001";"120071000012018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"133088372012018OB800002";"133088372012018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"135020132032018OB800002";"135020132032018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"152134152462018OB800001";"152134152462018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"152134152462018OB800002";"152134152462018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"152663264222018OB800002";"152663264222018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"154617264042018OB800001";"154617264042018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"154617264042018OB800002";"154617264042018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"154617264042018OB800003";"154617264042018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"154679264232018OB800001";"154679264232018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"154679264232018OB800002";"154679264232018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"155848264152018OB800001";"155848264152018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"158300264072018OB800002";"158300264072018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"158435264042018OB800001";"158435264042018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"158461264222018OB800001";"158461264222018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"158468264342018OB800001";"158468264342018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"158591264272018OB800003";"158591264272018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"158631264222018OB800001";"158631264222018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"158631264222018OB800002";"158631264222018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"158631264222018OB800003";"158631264222018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"160525000012018OB800001";"160525000012018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"194077192082018OB800001";"194077192082018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"200124000012018OB800001";"200124000012018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"200124000012018OB800002";"200124000012018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"200124000012018OB800003";"200124000012018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"200603000012018OB800001";"200603000012018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"390004000012018OB800001";"390004000012018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"390004000012018OB800002";"390004000012018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"510921572022018OB800001";"510921572022018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
"510921572022018OB800002";"510921572022018LC000000";"01/01/2018";"-3";"Inválido";"0,00"
